2005	0.060057	0.119307	0.179365	0.001506	0.003743	0.005249
2006	0.057848	0.109175	0.167023	0.001391	0.003088	0.004478
2007	0.055705	0.100978	0.156683	0.001341	0.002854	0.004195
2008	0.053875	0.094619	0.148494	0.001298	0.002673	0.003970
2009	0.052298	0.089558	0.141856	0.001261	0.002528	0.003789
2010	0.050922	0.085435	0.136357	0.001228	0.002410	0.003639
2011	0.049706	0.082009	0.131715	0.001200	0.002312	0.003512
2012	0.048619	0.079113	0.127732	0.001174	0.002230	0.003404
2013	0.047638	0.076629	0.124266	0.001151	0.002158	0.003310
2014	0.046746	0.074469	0.121215	0.001130	0.002097	0.003227
2015	0.045928	0.072572	0.118500	0.001111	0.002042	0.003153
2016	0.045175	0.070888	0.116063	0.001093	0.001994	0.003088
2017	0.044478	0.069382	0.113859	0.001077	0.001951	0.003028
